Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Centropogon_sp_nov_LL176                  ,2,dull,0.55,0.5625,160,43,23,3375,112.5,45,7,35,13,11,1,5.075173815,13,11,7,0.846153846,8.651175435,-7.94013534,-0.8204209,5.0480755,2,dull,no,vertical,berry,3000,solitary,,
Centropogon_subandinus_LL71               ,1,bright,0.64516129,0.451612903,143,54,42.5,729,35,61,10,24,11,3,1,4.96284463,11,3,10,0.272727273,5.748400591,0.406824953,-0.7648968,0.62531849,1,bright,no,horizontal,berry,2541.1,solitary,,
Centropogon_talamancensis_LL27            ,1,bright,0.762711864,0.542372881,70.5,74,49,1378.125,31.9,64.5,5,5,10.5,5.5,1,4.25561271,10.5,5.5,5,0.523809524,7.084508447,2.016515645,-0.4571,-1.91365042,1,bright,no,horizontal,berry,2873.9,solitary,,
Centropogon_tesmannii_LL73                ,1,bright,0.571428571,0.285714286,16,48,42,324,12,48,7,8,9,2.5,1,2.772588722,9,2.5,7,0.277777778,1.012534709,3.771712217,-2.4467419,0.24877213,1,bright,no,horizontal,berry,703.3,solitary,,
Centropogon_trachyanthus_LL75             ,3,bright,0.488636364,0.488636364,12,35.5,28.8,66.27,17.05,46.5,8.5,11.2,8.5,4.2,0.776447106,2.48490665,8.25,4.2,8.5,0.509090909,-1.614919886,0.644422121,-11.118355,-4.93000831,1,bright,no,vertical,berry,2105,solitary,,
Centropogon_trichoides_62                 ,1,bright,0.859375,0.390625,56,32.75,29,158.4,17.92,46,6.7,12.5,6.1,4.5,0.958762887,4.025351691,6.1,4.5,6.7,0.737704918,-0.629927025,1.848830549,-1.0205675,0.31895531,1,bright,no,horizontal,berry,2400,solitary,,
Centropogon_umbrosus_LL172                ,3,bright,0.563380282,0.464788732,38.33333333,39,19.33333333,300.9259259,12,37,5.333333333,11.66666667,5,5,0.925925926,3.64631984,5,5,5.333333333,1,-1.771829139,-0.181364167,-4.7656424,-0.39460709,1,bright,no,vertical,berry,2032,raceme,,
Centropogon_unduavensis_LL108             ,1,bright,0.825688073,0.458715596,59,30,23,814.31136,21.45,43.5,11,16,10.8,6.5,1,4.077537444,10.8,6.5,11,0.601851852,-0.479045184,-0.008323861,0.3327838,1.67745863,1,bright,no,horizontal,berry,3567.5,solitary,,
Centropogon_urubambae_LL171               ,3,bright,0.444444444,0.455555556,13,32,17,147,12,30,3,13,5,4,0.91237678,2.564949357,5,4,3,0.8,-3.511352141,-0.898084866,-6.4923161,-0.5930413,1,bright,no,vertical,berry,1874.3,raceme,,
Centropogon_valerii_63                    ,1,bright,0.805970149,0.328358209,69,27,23,245,13.2,37,8,16,7.5,3,1,4.234106505,7.5,3,8,0.4,-1.743766333,1.107128105,0.1677263,2.71854747,1,bright,yes,horizontal,berry,3000.4,solitary,,
Centropogon_vargasii_LL244                ,3,bright,0.533333333,0.333333333,25,30,15,196,24,32,7,12,10,5,0.926626324,3.218875825,10,5,7,0.5,-2.825095934,-0.039853592,-4.9575337,1.4061213,1,bright,no,horizontal,berry,2355.5,solitary,,
Centropogon_viriduflorus_LL180            ,2,dull,0.807291667,0.807291667,85,60,25,2535,55,45,8,33,11,10,1,4.442651256,11,10,8,0.909090909,5.394939327,-4.244674361,0.7198539,0.13638988,2,dull,no,vertical,berry,2674.8,solitary,,
